Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,45313876.05,24858558.45,195377000.00,142255,0,150159,0,82736,0,34249,0,3071,0.49052163520625597,484500
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,584634743.55,101890164.54,943570250.00,1367045,0,1455673,0,911862,0,337691,0,25012,0.7859272564796419,3931632
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,331516887.44,182100763.90,1994596000.00,2711011,0,607074,0,5071067,0,665206,0,52994,0.7701789381030022,8548752
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,85208989.64,105645079.54,14790800700.00,1481481,222875,0,591617,1560577,75944,778250,22797,32041,0.9204090331889582,8769672
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,218851048.31,141920182.83,15022211400.00,1639265,0,586516,0,1560056,0,769640,0,31127,0.9185750877153609,8414820
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,91762210.02,85461530.00,15358372600.00,1375240,206288,0,548378,1436176,70983,729226,21059,30367,0.9211297179260505,8150748
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,97550970.50,79331070.00,16131990000.00,1372738,205203,0,561340,1434977,69367,725927,20932,30035,0.9206545368651365,8132436
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,102530508.31,72205080.00,16818746700.00,1355650,203255,0,556281,1413895,67293,719638,21278,29846,0.9208233417640149,8075628
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,57193362.68,28662260.00,17086390200.00,664724,854025,0,543405,307704,1138534,692596,21395,29072,0.921310304799527,7830048
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1236721857.99,0.00,0,1258518,0,573930,0,1109755,0,454546,11102,1.152582995244802,4608648
